Tarot Data - Sheet1(3)
Name,Image
Four Of Wands,https://sacred-texts.com/tarot/pkt/img/wa04.jpg
Five Of Wands,https://sacred-texts.com/tarot/pkt/img/wa05.jpg
Six Of Wands,https://sacred-texts.com/tarot/pkt/img/wa06.jpg
Seven Of Wands,https://sacred-texts.com/tarot/pkt/img/wa07.jpg
Eight Of Wands,https://sacred-texts.com/tarot/pkt/img/wa08.jpg
Nine Of Wands,https://sacred-texts.com/tarot/pkt/img/wa09.jpg
Ten Of Wands,https://sacred-texts.com/tarot/pkt/img/wa10.jpg
Page Of Wands,https://sacred-texts.com/tarot/pkt/img/wapa.jpg
Knight Of Wands,https://sacred-texts.com/tarot/pkt/img/wakn.jpg
Queen Of Wands,https://sacred-texts.com/tarot/pkt/img/waqu.jpg
King Of Wands,https://sacred-texts.com/tarot/pkt/img/waki.jpg
Ace Of Swords,https://sacred-texts.com/tarot/pkt/img/swac.jpg
Two Of Swords,https://sacred-texts.com/tarot/pkt/img/sw02.jpg
Three Of Swords,https://sacred-texts.com/tarot/pkt/img/sw03.jpg
Four Of Swords,https://sacred-texts.com/tarot/pkt/img/sw04.jpg
Five Of Swords,https://sacred-texts.com/tarot/pkt/img/sw05.jpg
Six Of Swords,https://sacred-texts.com/tarot/pkt/img/sw06.jpg
Seven Of Swords,https://sacred-texts.com/tarot/pkt/img/sw07.jpg
Eight Of Swords,https://sacred-texts.com/tarot/pkt/img/sw08.jpg
Nine Of Swords,https://sacred-texts.com/tarot/pkt/img/sw09.jpg
Ten Of Swords,https://sacred-texts.com/tarot/pkt/img/sw10.jpg
Page Of Swords,https://sacred-texts.com/tarot/pkt/img/swpa.jpg
Knight Of Swords,https://sacred-texts.com/tarot/pkt/img/swkn.jpg
Queen Of Swords,https://sacred-texts.com/tarot/pkt/img/swqu.jpg
King Of Swords,https://sacred-texts.com/tarot/pkt/img/swki.jpg
Ace Of Pentacles,https://sacred-texts.com/tarot/pkt/img/peac.jpg
Two Of Pentacles,https://sacred-texts.com/tarot/pkt/img/pe02.jpg
Three Of Pentacles,https://sacred-texts.com/tarot/pkt/img/pe03.jpg
Four Of Pentacles,https://sacred-texts.com/tarot/pkt/img/pe04.jpg
Five Of Pentacles,https://sacred-texts.com/tarot/pkt/img/pe05.jpg
Six Of Pentacles,https://sacred-texts.com/tarot/pkt/img/pe06.jpg
Seven Of Pentacles,https://sacred-texts.com/tarot/pkt/img/pe07.jpg
Eight Of Pentacles,https://sacred-texts.com/tarot/pkt/img/pe08.jpg
Nine Of Pentacles,https://sacred-texts.com/tarot/pkt/img/pe09.jpg
Ten Of Pentacles,https://sacred-texts.com/tarot/pkt/img/pe10.jpg
Page Of Pentacles,https://sacred-texts.com/tarot/pkt/img/pepa.jpg
Knight Of Pentacles,https://sacred-texts.com/tarot/pkt/img/pekn.jpg
Queen Of Pentacles,https://sacred-texts.com/tarot/pkt/img/pequ.jpg
King Of Pentacles,https://sacred-texts.com/tarot/pkt/img/peki.jpg
