Tarot Data - Sheet1(5)
Name,Image,Alt
Three Of Swords,https://sacred-texts.com/tarot/pkt/img/sw03.jpg,Three Of Swords
Four Of Swords,https://sacred-texts.com/tarot/pkt/img/sw04.jpg,Four Of Swords
Five Of Swords,https://sacred-texts.com/tarot/pkt/img/sw05.jpg,Five Of Swords
Six Of Swords,https://sacred-texts.com/tarot/pkt/img/sw06.jpg,Six Of Swords
Seven Of Swords,https://sacred-texts.com/tarot/pkt/img/sw07.jpg,Seven Of Swords
Eight Of Swords,https://sacred-texts.com/tarot/pkt/img/sw08.jpg,Eight Of Swords
Nine Of Swords,https://sacred-texts.com/tarot/pkt/img/sw09.jpg,Nine Of Swords
Ten Of Swords,https://sacred-texts.com/tarot/pkt/img/sw10.jpg,Ten Of Swords
Page Of Swords,https://sacred-texts.com/tarot/pkt/img/swpa.jpg,Page Of Swords
Knight Of Swords,https://sacred-texts.com/tarot/pkt/img/swkn.jpg,Knight Of Swords
Queen Of Swords,https://sacred-texts.com/tarot/pkt/img/swqu.jpg,Queen Of Swords
King Of Swords,https://sacred-texts.com/tarot/pkt/img/swki.jpg,King Of Swords
Ace Of Pentacles,https://sacred-texts.com/tarot/pkt/img/peac.jpg,Ace Of Pentacles
Two Of Pentacles,https://sacred-texts.com/tarot/pkt/img/pe02.jpg,Two Of Pentacles
Three Of Pentacles,https://sacred-texts.com/tarot/pkt/img/pe03.jpg,Three Of Pentacles
Four Of Pentacles,https://sacred-texts.com/tarot/pkt/img/pe04.jpg,Four Of Pentacles
Five Of Pentacles,https://sacred-texts.com/tarot/pkt/img/pe05.jpg,Five Of Pentacles
Six Of Pentacles,https://sacred-texts.com/tarot/pkt/img/pe06.jpg,Six Of Pentacles
Seven Of Pentacles,https://sacred-texts.com/tarot/pkt/img/pe07.jpg,Seven Of Pentacles
Eight Of Pentacles,https://sacred-texts.com/tarot/pkt/img/pe08.jpg,Eight Of Pentacles
Nine Of Pentacles,https://sacred-texts.com/tarot/pkt/img/pe09.jpg,Nine Of Pentacles
Ten Of Pentacles,https://sacred-texts.com/tarot/pkt/img/pe10.jpg,Ten Of Pentacles
Page Of Pentacles,https://sacred-texts.com/tarot/pkt/img/pepa.jpg,Page Of Pentacles
Knight Of Pentacles,https://sacred-texts.com/tarot/pkt/img/pekn.jpg,Knight Of Pentacles
Queen Of Pentacles,https://sacred-texts.com/tarot/pkt/img/pequ.jpg,Queen Of Pentacles
King Of Pentacles,https://sacred-texts.com/tarot/pkt/img/peki.jpg,King Of Pentacles
